,Label1,Label2,Count,Total_Label_1,Total_Label_2,p_value,p_value_fdr
26,HsdM N-terminal domain,Zinc finger found in FPG and IleRS,2,40,19,9.36393396708485e-06,4.210003536364719e-05
27,Formamidopyrimidine-DNA glycosylase N-terminal domain,HsdM N-terminal domain,2,19,40,9.363933967084848e-06,4.210003536364719e-05
28,HsdM N-terminal domain,PP-loop family,2,40,77,0.0001588375452682576,0.00044587074715066015
29,HsdM N-terminal domain,TilS substrate C-terminal domain,2,40,66,0.00011663353471110861,0.00034466651382329466
30,Chaperone of endosialidase,YadA head domain repeat (2 copies),4,64,390,1.6062546373760684e-05,6.666504844846441e-05
31,Collagen triple helix repeat (20 copies),YadA head domain repeat (2 copies),9,334,390,1.1438103598713034e-07,9.385145559944024e-07
32,Chaperone of endosialidase,Coiled stalk of trimeric autotransporter adhesin,8,64,627,1.2915391639545398e-10,1.8545246731311125e-09
33,Coiled stalk of trimeric autotransporter adhesin,Collagen triple helix repeat (20 copies),18,627,334,1.2899362514948408e-15,3.305082016376558e-14
34,Chaperone of endosialidase,Trimeric autotransporter adhesin Trp ring domain,1,64,2,0.000759191078233118,0.0016717565414937359
35,Collagen triple helix repeat (20 copies),Trimeric autotransporter adhesin Trp ring domain,1,334,2,0.003958854801587135,0.006876849549408794
36,Chaperone of endosialidase,Tryptophan-ring motif of head of Trimeric autotransporter adhesin,1,64,10,0.003790285842349395,0.006628752462341068
37,Collagen triple helix repeat (20 copies),Tryptophan-ring motif of head of Trimeric autotransporter adhesin,3,334,10,9.155992695382858e-07,5.6835323014839794e-06
38,Chaperone of endosialidase,Putative cell wall binding repeat,1,64,1390,0.41140900343129455,0.44051079508823354
39,Collagen triple helix repeat (20 copies),Putative cell wall binding repeat,1,334,1390,0.937230682694711,0.9587453038182625
40,Chaperone of endosialidase,Extended Signal Peptide of Type V secretion system,2,64,462,0.01350787822715893,0.019807275945178726
41,Collagen triple helix repeat (20 copies),Extended Signal Peptide of Type V secretion system,11,334,462,3.2250822257703364e-09,3.6051568329561844e-08
42,Chaperone of endosialidase,YadA-like membrane anchor domain,8,64,582,7.188141835261833e-11,1.0793697075360125e-09
43,Collagen triple helix repeat (20 copies),YadA-like membrane anchor domain,18,334,582,3.587245500979387e-16,9.607963111884818e-15
44,"DNA polymerase III beta subunit, C-terminal domain","DNA polymerase III beta subunit, N-terminal domain",292,860,740,0.0,0.0
45,"DNA polymerase III beta subunit, N-terminal domain","DNA polymerase III beta subunit, central domain",292,740,860,0.0,0.0
46,"DNA polymerase III beta subunit, N-terminal domain","DNA polymerase III beta subunit, N-terminal domain",134,740,740,1.5632029922727033e-172,3.8478986037169864e-170
47,"DNA polymerase III beta subunit, C-terminal domain","DNA polymerase III beta subunit, central domain",332,860,860,0.0,0.0
48,"DNA polymerase III beta subunit, central domain","DNA polymerase III beta subunit, central domain",166,860,860,4.303771637375429e-208,1.2533674105072076e-205
49,"DNA polymerase III beta subunit, C-terminal domain","DNA polymerase III beta subunit, C-terminal domain",166,860,860,4.303771637375429e-208,1.2533674105072076e-205
50,"Bacterial regulatory helix-turn-helix protein, lysR family",LysR substrate binding domain,56,589,589,4.346967974228097e-61,4.384500331859237e-59
51,"Bacterial regulatory helix-turn-helix protein, lysR family","Bacterial regulatory helix-turn-helix protein, lysR family",28,589,589,8.760969023542284e-23,3.558950029465301e-21
52,"Bacterial regulatory helix-turn-helix protein, lysR family","RelA/SpoT, AH and RIS domains",3,589,22,6.220376798642832e-05,0.00020588879632709754
53,ACT domain,"Bacterial regulatory helix-turn-helix protein, lysR family",3,74,589,0.0022883676605198675,0.004310912729279273
54,"Bacterial regulatory helix-turn-helix protein, lysR family",NACHT domain,3,589,18,3.330493600202209e-05,0.00012225211463053626
55,"Bacterial regulatory helix-turn-helix protein, lysR family",Sulfatase-modifying factor enzyme 1,3,589,274,0.07216182209573062,0.08846733045614977
56,"Bacterial regulatory helix-turn-helix protein, lysR family","Schlafen, AlbA_2",3,589,186,0.027989479055326668,0.037897875609127725
57,"Bacterial regulatory helix-turn-helix protein, lysR family",Putative ATP-dependent DNA helicase recG C-terminal,3,589,244,0.054835170483419474,0.06900954474045431
58,LysR substrate binding domain,LysR substrate binding domain,28,589,589,8.760969023542284e-23,3.558950029465301e-21
59,LysR substrate binding domain,"RelA/SpoT, AH and RIS domains",3,589,22,6.220376798642832e-05,0.00020588879632709754
60,ACT domain,LysR substrate binding domain,3,74,589,0.0022883676605198675,0.004310912729279273
61,LysR substrate binding domain,NACHT domain,3,589,18,3.330493600202209e-05,0.00012225211463053626
62,LysR substrate binding domain,Sulfatase-modifying factor enzyme 1,3,589,274,0.07216182209573062,0.08846733045614977
63,LysR substrate binding domain,"Schlafen, AlbA_2",3,589,186,0.027989479055326668,0.037897875609127725
64,LysR substrate binding domain,Putative ATP-dependent DNA helicase recG C-terminal,3,589,244,0.054835170483419474,0.06900954474045431
65,"Homoserine dehydrogenase, NAD binding domain","Orn/Lys/Arg decarboxylase, major domain",6,110,44,4.65062941177627e-13,9.054714156996041e-12
66,ACT domain,"Orn/Lys/Arg decarboxylase, major domain",2,74,44,0.00017770573763876805,0.0004909702748739721
67,Homoserine dehydrogenase,"Orn/Lys/Arg decarboxylase, major domain",6,110,44,4.65062941177627e-13,9.054714156996041e-12
68,Cobalamin synthesis G N-terminal,"Orn/Lys/Arg decarboxylase, major domain",1,34,44,0.00883744972735253,0.01366015907994829
69,Cobalamin synthesis G C-terminus,"Orn/Lys/Arg decarboxylase, major domain",1,34,44,0.00883744972735253,0.01366015907994829
70,NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus,"Orn/Lys/Arg decarboxylase, major domain",1,66,44,0.01708530093550882,0.02438550199789576
71,NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus,"Orn/Lys/Arg decarboxylase, major domain",1,66,44,0.01708530093550882,0.02438550199789576
72,"Cytosol aminopeptidase family, N-terminal domain","Orn/Lys/Arg decarboxylase, major domain",2,15,44,6.976213997527785e-06,3.2790901756508755e-05
73,"Cytosol aminopeptidase family, catalytic domain","Orn/Lys/Arg decarboxylase, major domain",2,15,44,6.976213997527785e-06,3.2790901756508755e-05
74,"Orn/Lys/Arg decarboxylase, major domain",RecJ OB domain,2,44,25,1.9898965849758887e-05,7.986236740595196e-05
75,DHHA1 domain,"Orn/Lys/Arg decarboxylase, major domain",2,175,44,0.0009850586704268634,0.0020860362687849503
76,DHH family,"Orn/Lys/Arg decarboxylase, major domain",2,167,44,0.0008979970785181222,0.0019263105653407316
77,"Homoserine dehydrogenase, NAD binding domain","Orn/Lys/Arg decarboxylase, C-terminal domain",6,110,44,4.65062941177627e-13,9.054714156996041e-12
78,ACT domain,"Orn/Lys/Arg decarboxylase, C-terminal domain",2,74,44,0.00017770573763876805,0.0004909702748739721
79,Homoserine dehydrogenase,"Orn/Lys/Arg decarboxylase, C-terminal domain",6,110,44,4.65062941177627e-13,9.054714156996041e-12
80,Cobalamin synthesis G N-terminal,"Orn/Lys/Arg decarboxylase, C-terminal domain",1,34,44,0.00883744972735253,0.01366015907994829
81,Cobalamin synthesis G C-terminus,"Orn/Lys/Arg decarboxylase, C-terminal domain",1,34,44,0.00883744972735253,0.01366015907994829
82,NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus,"Orn/Lys/Arg decarboxylase, C-terminal domain",1,66,44,0.01708530093550882,0.02438550199789576
83,NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus,"Orn/Lys/Arg decarboxylase, C-terminal domain",1,66,44,0.01708530093550882,0.02438550199789576
84,"Cytosol aminopeptidase family, N-terminal domain","Orn/Lys/Arg decarboxylase, C-terminal domain",2,15,44,6.976213997527785e-06,3.2790901756508755e-05
85,"Cytosol aminopeptidase family, catalytic domain","Orn/Lys/Arg decarboxylase, C-terminal domain",2,15,44,6.976213997527785e-06,3.2790901756508755e-05
86,"Orn/Lys/Arg decarboxylase, C-terminal domain",RecJ OB domain,2,44,25,1.9898965849758887e-05,7.986236740595196e-05
87,DHHA1 domain,"Orn/Lys/Arg decarboxylase, C-terminal domain",2,175,44,0.0009850586704268634,0.0020860362687849503
88,DHH family,"Orn/Lys/Arg decarboxylase, C-terminal domain",2,167,44,0.0008979970785181222,0.0019263105653407316
89,Cna protein B-type domain,RTX calcium-binding nonapeptide repeat (4 copies),10,339,378,7.175178661438134e-09,7.496774592347464e-08
90,Domain of unknown function (DUF5979),RTX calcium-binding nonapeptide repeat (4 copies),6,75,378,2.1592633219135314e-08,2.0546289787025352e-07
91,Haemagglutinin repeat,RTX calcium-binding nonapeptide repeat (4 copies),4,34,378,1.0942762707799157e-06,6.641706112679246e-06
92,Hemagglutinin repeat,RTX calcium-binding nonapeptide repeat (4 copies),4,79,378,3.273822539263301e-05,0.00012040702355807055
93,Peptidase family M23,RTX calcium-binding nonapeptide repeat (4 copies),4,182,378,0.000803800099450782,0.001754590558399472
94,RTX calcium-binding nonapeptide repeat (4 copies),RTX calcium-binding nonapeptide repeat (4 copies),4,378,378,0.010818522840613356,0.016303082630665575
95,Cna protein B-type domain,Haemolysin-type calcium binding protein related domain,4,339,55,5.053899031043192e-06,2.4792282387871908e-05
96,Domain of unknown function (DUF5979),Haemolysin-type calcium binding protein related domain,4,75,55,1.2111960459121894e-08,1.218681296414907e-07
97,Haemagglutinin repeat,Haemolysin-type calcium binding protein related domain,2,34,55,5.824439047186554e-05,0.00019569698761565872
98,Haemolysin-type calcium binding protein related domain,Hemagglutinin repeat,2,55,79,0.000316877114704425,0.000799130150108964
99,Haemolysin-type calcium binding protein related domain,Peptidase family M23,4,55,182,4.294373950204103e-07,2.948033538126502e-06
100,Haemolysin-type calcium binding protein related domain,RTX calcium-binding nonapeptide repeat (4 copies),4,55,378,7.753553802452436e-06,3.5833757705254585e-05
101,Starch-binding associating with outer membrane,Starch-binding associating with outer membrane,31,191,191,1.510224936887168e-57,1.4799488635078659e-55
102,Starch-binding associating with outer membrane,SusD family,62,191,191,3.506432315267602e-137,6.971394325268096e-135
103,"Galactose oxidase-like, Early set domain",Starch-binding associating with outer membrane,4,42,191,1.7282776788734702e-07,1.3394152011269396e-06
104,Glyoxal oxidase N-terminus,Starch-binding associating with outer membrane,4,42,191,1.7282776788734702e-07,1.3394152011269396e-06
105,Starch-binding associating with outer membrane,Sulfatase-modifying factor enzyme 1,2,191,274,0.03907234251789898,0.050987619201173694
106,Starch-binding associating with outer membrane,TIR domain,2,191,135,0.01046423112505084,0.015818753251401977
107,"Lactonase, 7-bladed beta-propeller",Starch-binding associating with outer membrane,4,52,191,4.1432832739697e-07,2.863108093894658e-06
108,Alpha-L-fucosidase,Starch-binding associating with outer membrane,4,30,191,4.276804267315452e-08,3.8381719546563195e-07
109,SusD family,SusD family,31,191,191,1.510224936887168e-57,1.4799488635078659e-55
110,"Galactose oxidase-like, Early set domain",SusD family,4,42,191,1.7282776788734702e-07,1.3394152011269396e-06
111,Glyoxal oxidase N-terminus,SusD family,4,42,191,1.7282776788734702e-07,1.3394152011269396e-06
112,Sulfatase-modifying factor enzyme 1,SusD family,2,274,191,0.03907234251789898,0.050987619201173694
113,SusD family,TIR domain,2,191,135,0.01046423112505084,0.015818753251401977
114,"Lactonase, 7-bladed beta-propeller",SusD family,4,52,191,4.1432832739697e-07,2.863108093894658e-06
115,Alpha-L-fucosidase,SusD family,4,30,191,4.276804267315452e-08,3.8381719546563195e-07
116,Bacterial Ig-like domain (group 2),BspA type Leucine rich repeat region (6 copies),53,916,1981,7.290080056209199e-21,2.6585006229671533e-19
117,Bacterial Ig-like domain (group 2),Dockerin type I domain,20,916,579,1.2752335724117206e-10,1.833658176408703e-09
118,Bacterial Ig-like domain (group 2),Chlamydia polymorphic membrane protein (Chlamydia_PMP) repeat,6,916,129,8.171018939904163e-05,0.00025680522666119223
119,Bacterial Ig-like domain (group 2),Divergent InlB B-repeat domain,21,916,1034,4.1443548508133245e-07,2.863108093894658e-06
120,Bacterial Ig-like domain (group 2),Fibronectin type III domain,10,916,522,0.0006782759197925663,0.0015199643647502866
121,Bacterial Ig-like domain (group 2),Leucine Rich repeats (2 copies),6,916,298,0.006166424211773439,0.010027774551855242
122,Bacterial Ig-like domain (group 2),Leucine Rich Repeat,26,916,756,2.4570459109675304e-13,4.932460029230643e-12
123,Bacterial Ig-like domain (group 2),Leucine rich repeat N-terminal domain,14,916,395,5.416126924110796e-08,4.733273728226498e-07
124,Bacterial Ig-like domain (group 2),Leucine rich repeat,23,916,482,6.911185211781726e-15,1.6616578677210555e-13
125,Bacterial Ig-like domain (group 2),Protein of unknown function (DUF1194),2,916,30,0.011600743830414248,0.017331544810800247
126,Bacterial Ig-like domain (group 2),Secretion system C-terminal sorting domain,46,916,1403,1.0649308604429313e-21,4.077699148403424e-20
127,Bacterial Ig-like domain (group 2),"Mycoplasma protein of unknown function, DUF285",27,916,823,2.5753893362301903e-13,5.150031460854124e-12
128,Bacterial Ig-like domain (group 2),Right handed beta helix region,5,916,340,0.03933107882472985,0.05127994935739574
129,Bacterial Ig-like domain (group 2),Calx-beta domain,20,916,413,2.997753690088431e-13,5.93721772509181e-12
130,BspA type Leucine rich repeat region (6 copies),BspA type Leucine rich repeat region (6 copies),125,1981,1981,1.7603949131483625e-51,1.632272897720569e-49
131,BspA type Leucine rich repeat region (6 copies),Dockerin type I domain,38,1981,579,3.8240760876172904e-17,1.0831564556666126e-15
132,BspA type Leucine rich repeat region (6 copies),Chlamydia polymorphic membrane protein (Chlamydia_PMP) repeat,16,1981,129,3.826879564502683e-12,6.745813193113553e-11
133,BspA type Leucine rich repeat region (6 copies),Divergent InlB B-repeat domain,61,1981,1034,3.1796168626854434e-24,1.381196173734179e-22
134,BspA type Leucine rich repeat region (6 copies),Fibronectin type III domain,37,1981,522,8.297453623507762e-18,2.4509492653324283e-16
135,BspA type Leucine rich repeat region (6 copies),Leucine Rich repeats (2 copies),16,1981,298,6.924892761065193e-07,4.495636032042229e-06
136,BspA type Leucine rich repeat region (6 copies),Leucine Rich Repeat,79,1981,756,1.5081142080612124e-48,1.3047396435180623e-46
137,BspA type Leucine rich repeat region (6 copies),Leucine rich repeat N-terminal domain,42,1981,395,8.953081115615117e-27,4.335429935071986e-25
138,BspA type Leucine rich repeat region (6 copies),Leucine rich repeat,55,1981,482,3.229955746096298e-36,2.2041516489119855e-34
139,BspA type Leucine rich repeat region (6 copies),Protein of unknown function (DUF1194),3,1981,30,0.005192190616345756,0.008664965728343922
140,BspA type Leucine rich repeat region (6 copies),Secretion system C-terminal sorting domain,146,1981,1403,8.471121108255716e-89,1.1016186865119713e-86
141,BspA type Leucine rich repeat region (6 copies),"Mycoplasma protein of unknown function, DUF285",111,1981,823,9.854029718382328e-80,1.1846033284127406e-77
142,BspA type Leucine rich repeat region (6 copies),Right handed beta helix region,18,1981,340,1.761471833069933e-07,1.3627001805337922e-06
143,BspA type Leucine rich repeat region (6 copies),Calx-beta domain,57,1981,413,4.390013678352715e-42,3.4124929634322963e-40
144,Family of unknown function (DUF6017),N-terminal phage replisome organiser (Phage_rep_org_N),4,72,16,5.544110781527185e-11,8.491524342936118e-10
145,Family of unknown function (DUF6017),Replication initiation and membrane attachment,5,72,28,1.2032068214580636e-12,2.2453707082390234e-11
146,Family of unknown function (DUF6017),ROS/MUCR transcriptional regulator protein,2,72,12,1.1840761055807447e-05,5.144597948117894e-05
147,Family of unknown function (DUF6017),Winged helix-turn-helix DNA-binding,2,72,131,0.0014782255161247568,0.002960029924163432
148,Family of unknown function (DUF6017),Family of unknown function (DUF6017),4,72,72,3.077795893795507e-08,2.8309424241997197e-07
149,Family of unknown function (DUF6017),Replication initiator protein A (RepA) N-terminus,8,72,76,1.3642918768009744e-17,3.956446442722826e-16
150,N-terminal phage replisome organiser (Phage_rep_org_N),Replication initiator protein A (RepA) N-terminus,4,16,76,6.912329056467795e-11,1.0432571379604715e-09
151,Replication initiation and membrane attachment,Replication initiator protein A (RepA) N-terminus,7,28,76,3.3483250805915722e-18,1.0107053677575466e-16
152,ROS/MUCR transcriptional regulator protein,Replication initiator protein A (RepA) N-terminus,2,12,76,1.3200638105829146e-05,5.653471294826621e-05
153,Replication initiator protein A (RepA) N-terminus,Winged helix-turn-helix DNA-binding,2,76,131,0.0016449093952465767,0.003245909454272391
154,Replication initiator protein A (RepA) N-terminus,Replication initiator protein A (RepA) N-terminus,4,76,76,4.7738528196122124e-08,4.2165294639522305e-07
155,HD domain,"Type III restriction enzyme, res subunit",52,3234,1671,0.0006100377060769532,0.0013902512563157899
156,DEAD/DEAH box helicase,"Type III restriction enzyme, res subunit",520,8905,1671,1.5725747807995637e-248,5.08064511603009e-246
157,Helicase conserved C-terminal domain,"Type III restriction enzyme, res subunit",442,8058,1671,1.109022295021109e-196,3.184896388076593e-194
158,Bacteriophage abortive infection AbiH,"Type III restriction enzyme, res subunit",2,64,1671,0.1327187530663571,0.1540747659959051
159,"Cas3, HD domain","Type III restriction enzyme, res subunit",350,6232,1671,9.260229696972277e-156,2.0369549940882528e-153
160,"Type III restriction enzyme, res subunit","Type III restriction enzyme, res subunit",29,1671,1671,0.0032101846718984054,0.005743776880154995
161,"CRISPR-associated nuclease/helicase Cas3, I-F/YPEST, Cas2 domain","Type III restriction enzyme, res subunit",6,143,1671,0.0031798460437558085,0.005695571435095188
162,"Type III restriction enzyme, res subunit","Uncharacterised protein, DegV family COG1307",6,1671,66,5.1440909054775014e-05,0.00017656767538605294
163,HD domain,HD domain,595,3234,3234,0.0,0.0
164,DEAD/DEAH box helicase,HD domain,419,8905,3234,8.494302746376678e-64,8.870540297314675e-62
165,HD domain,Helicase conserved C-terminal domain,320,3234,8058,4.010894398691067e-34,2.505536661079613e-32
166,Bacteriophage abortive infection AbiH,HD domain,5,64,3234,0.007749197136542896,0.012197788458609733
167,"Cas3, HD domain",HD domain,257,6232,3234,8.049713734791105e-30,4.357170965818735e-28
168,"CRISPR-associated nuclease/helicase Cas3, I-F/YPEST, Cas2 domain",HD domain,11,143,3234,0.00010884361549383415,0.0003256960112251822
169,HD domain,"Uncharacterised protein, DegV family COG1307",5,3234,66,0.00880397224449737,0.01362007076869326
170,AAA+ lid domain,"DNA polymerase III, delta subunit",10,130,167,1.6656631730160292e-16,4.555676908525455e-15
171,AAA+ lid domain,DNA polymerase III subunits gamma and tau domain III,4,130,70,2.976025285680208e-07,2.1440862310804762e-06
172,AAA+ lid domain,DNA topoisomerase,2,130,145,0.005732791938935992,0.009418906549175966
173,AAA+ lid domain,C-terminal repeat of topoisomerase,2,130,42,0.0004979631182415369,0.0011727705290736135
174,AAA+ lid domain,"Translation initiation factor IF-3, N-terminal domain",2,130,52,0.0007630346353018065,0.0016784326759718567
175,AAA+ lid domain,"Translation initiation factor IF-3, C-terminal domain",2,130,155,0.006520911526013489,0.010511646341574876
176,AAA+ lid domain,"DNA polymerase III delta subunit, C-terminal domain",6,130,66,1.6373247563484414e-11,2.695458916163752e-10
177,"DNA polymerase III, delta subunit",Peptidase family M41,6,167,121,3.020349695251704e-09,3.3941179700391024e-08
178,DNA polymerase III subunits gamma and tau domain III,Peptidase family M41,2,70,121,0.0011952376896858742,0.002469417437013871
179,DNA topoisomerase,Peptidase family M41,2,145,121,0.0049887611714923286,0.008368701504376673
180,C-terminal repeat of topoisomerase,Peptidase family M41,2,42,121,0.0004317655062788098,0.0010403933543091657
181,Peptidase family M41,"Translation initiation factor IF-3, N-terminal domain",2,121,52,0.0006618336779677463,0.0014902248676183262
182,Peptidase family M41,"Translation initiation factor IF-3, C-terminal domain",2,121,155,0.0056765802172102165,0.009337680918954308
183,"DNA polymerase III delta subunit, C-terminal domain",Peptidase family M41,4,66,121,1.7584072712698052e-07,1.3612350111585832e-06
184,ATPase family associated with various cellular activities (AAA),"DNA polymerase III, delta subunit",15,430,167,6.078361415418984e-19,1.9485624649088112e-17
185,ATPase family associated with various cellular activities (AAA),DNA polymerase III subunits gamma and tau domain III,6,430,70,3.038844970638066e-08,2.798850666275425e-07
186,ATPase family associated with various cellular activities (AAA),DNA topoisomerase,2,430,145,0.053387335855993825,0.06741724340383438
187,ATPase family associated with various cellular activities (AAA),C-terminal repeat of topoisomerase,2,430,42,0.00522475181317496,0.008712273648469247
188,ATPase family associated with various cellular activities (AAA),"Translation initiation factor IF-3, N-terminal domain",6,430,52,4.9049498629532295e-09,5.294080665698084e-08
189,ATPase family associated with various cellular activities (AAA),"Translation initiation factor IF-3, C-terminal domain",6,430,155,3.371674826309749e-06,1.7525419905381268e-05
190,ATPase family associated with various cellular activities (AAA),"DNA polymerase III delta subunit, C-terminal domain",9,430,66,1.3689728497670538e-13,2.822158685407116e-12
191,Actin like proteins N terminal domain,CRISPR associated protein Cas1,49,169,1386,1.1979479655321735e-60,1.1966169122371377e-58
192,"Archaeal actin homologue MreB-like, C-terminal",CRISPR associated protein Cas1,49,169,1386,1.1979479655321735e-60,1.1966169122371377e-58
193,CRISPR associated protein Cas1,Reverse transcriptase (RNA-dependent DNA polymerase),296,1386,1632,2.4645004376015544e-302,9.799706836209103e-300
194,CRISPR associated protein Cas1,CRISPR associated protein Cas1,203,1386,1386,4.148016633430081e-185,1.1285334201241287e-182
195,Actin like proteins N terminal domain,Reverse transcriptase (RNA-dependent DNA polymerase),45,169,1632,9.556298785587317e-51,8.743167698654378e-49
196,"Archaeal actin homologue MreB-like, C-terminal",Reverse transcriptase (RNA-dependent DNA polymerase),45,169,1632,9.556298785587317e-51,8.743167698654378e-49
197,Reverse transcriptase (RNA-dependent DNA polymerase),Reverse transcriptase (RNA-dependent DNA polymerase),176,1632,1632,5.228280892269308e-124,9.23975760764551e-122
198,HNH endonuclease,HNH endonuclease,5247,21075,21075,0.0,0.0
199,HNH endonuclease,REC lobe of CRISPR-associated endonuclease Cas9,1760,21075,4506,0.0,0.0
200,HNH endonuclease,PAM-interacting domain of CRISPR-associated endonuclease Cas9,1515,21075,3496,0.0,0.0
201,Bridge helix of CRISPR-associated endonuclease Cas9,HNH endonuclease,540,1651,21075,1.9768187496284416e-102,2.7996357045251565e-100
202,Cas9 alpha-helical lobe domain,HNH endonuclease,1763,4180,21075,0.0,0.0
203,HNH endonuclease,RuvC endonuclease subdomain 3,7900,21075,16288,0.0,0.0
204,PAM-interacting domain of CRISPR-associated endonuclease Cas9,REC lobe of CRISPR-associated endonuclease Cas9,586,3496,4506,1.0039329839838764e-284,3.916664586761248e-282
205,PAM-interacting domain of CRISPR-associated endonuclease Cas9,PAM-interacting domain of CRISPR-associated endonuclease Cas9,351,3496,3496,5.881854623396509e-132,1.105628254981542e-129
206,Bridge helix of CRISPR-associated endonuclease Cas9,PAM-interacting domain of CRISPR-associated endonuclease Cas9,97,1651,3496,2.5046584497664765e-19,8.272974882719079e-18
207,Cas9 alpha-helical lobe domain,PAM-interacting domain of CRISPR-associated endonuclease Cas9,56,4180,3496,0.9998655061821261,1.0
208,PAM-interacting domain of CRISPR-associated endonuclease Cas9,RuvC endonuclease subdomain 3,670,3496,16288,9.055730540129109e-67,9.907160866574053e-65
209,REC lobe of CRISPR-associated endonuclease Cas9,REC lobe of CRISPR-associated endonuclease Cas9,501,4506,4506,3.6468318704251266e-162,8.37839362053115e-160
210,Bridge helix of CRISPR-associated endonuclease Cas9,REC lobe of CRISPR-associated endonuclease Cas9,421,1651,4506,3.124471787462487e-279,1.1746309663520335e-276
211,Cas9 alpha-helical lobe domain,REC lobe of CRISPR-associated endonuclease Cas9,117,4180,4506,0.31771738462588106,0.3452150479195661
212,REC lobe of CRISPR-associated endonuclease Cas9,RuvC endonuclease subdomain 3,909,4506,16288,4.1049277041691606e-103,5.935495813923479e-101
213,Bacterial Ig-like domain (group 2),Spi protease inhibitor,6,916,118,4.978325162169245e-05,0.00017170446935475144
214,Bacterial Ig-like domain (group 2),Peptidase C10 family,6,916,118,4.978325162169245e-05,0.00017170446935475144
215,Bacterial Ig-like domain (group 2),"Putative binding domain, N-terminal",11,916,282,5.595689197879041e-07,3.731121107531278e-06
216,Bacterial Ig-like domain (group 2),Viral BACON domain,11,916,260,2.507294975550789e-07,1.8548600432724029e-06
217,Bacterial Ig-like domain (group 2),CUB domain,2,916,42,0.021999605680276278,0.03055796363368753
218,Bacterial Ig-like domain (group 2),S-layer homology domain,14,916,975,0.0011108372644433784,0.002316569048602696
219,Bacterial Ig-like domain (group 2),Bacterial Ig-like domain (group 2),10,916,916,0.03024413083934009,0.04058130391726379
220,Bacterial Ig-like domain (group 2),"Bacterial surface protein, Ig-like domain",8,916,155,2.5115739804056838e-06,1.3666267156012716e-05
221,BspA type Leucine rich repeat region (6 copies),Spi protease inhibitor,15,1981,118,1.2484157462878568e-11,2.0783810294681172e-10
222,BspA type Leucine rich repeat region (6 copies),Peptidase C10 family,15,1981,118,1.2484157462878568e-11,2.0783810294681172e-10
