,Pfam_Label,If_Cas_Related_Protein
45,CRISPR-associated protein NE0113 (Cas_NE0113),
46,CRISPR-associated protein TM1802 (cas_TM1802),
47,"CRISPR-associated protein, GSU0054 family (Cas_GSU0054)",
48,Cas6 Crispr,
49,Csc2 Crispr,
50,PAM-interacting domain of CRISPR-associated endonuclease Cas9,
51,Putative CRISPR-associated protein (Cas_VVA1548),
52,REC lobe of CRISPR-associated endonuclease Cas9,
53,Topo homolgy domain in CRISPR-associated endonuclease Cas9,
54,minimal CRISPR polymerase domain,
55,'Cold-shock' DNA-binding domain,
56,'Paired box' domain,
57,"1,4-alpha-glucan branching enzyme, C-terminal",
58,1-carboxybiuret hydrolase subunit AtzG-like,
59,1-deoxy-D-xylulose-5-phosphate synthase,
60,10 TM Acyl Transferase domain found in Cas1p,
61,16S rRNA methyltransferase RsmB/F,
62,2'-5' RNA ligase superfamily,
63,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,
64,"2-hydroxyglutaryl-CoA dehydratase, D-component",
65,2-oxoacid dehydrogenases acyltransferase (catalytic domain),
66,2-phospho-L-lactate transferase CofD,
67,23S rRNA-intervening sequence protein,
68,26S proteasome non-ATPase regulatory subunit RPN1 C-terminal,
69,26S proteasome regulatory subunit RPN6 N-terminal domain,
70,2Fe-2S iron-sulfur cluster binding domain,
71,2OG-Fe(II) oxygenase superfamily,
72,3'-5' exonuclease,
73,3'-5' exoribonuclease Rv2179c-like domain,
74,3'5'-cyclic nucleotide phosphodiesterase,
75,3'DNA-binding domain (3'BD),
76,3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase),
77,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,
78,3-dehydroquinate synthase,
79,3-dehydroquinate synthase II,
80,3-demethylubiquinone-9 3-methyltransferase,
81,"3-hydroxyacyl-CoA dehydrogenase, C-terminal domain",
82,3-keto-disaccharide hydrolase,
83,37-kD nucleoid-associated bacterial protein,
84,39S ribosomal protein L53/MRP-L53,
85,3D domain,
86,3H domain,
87,4'-phosphopantetheinyl transferase superfamily,
88,4-alpha-glucanotransferase,
89,4-fold beta flower protein,
90,4Fe-4S binding domain,
91,4Fe-4S dicluster domain,
92,4Fe-4S double cluster binding domain,
93,4Fe-4S single cluster domain,
94,"5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)",
95,"5'-3' exonuclease, C-terminal SAM fold",
96,"5'-3' exonuclease, N-terminal resolvase-like domain",
97,"5'-AMP-activated protein kinase beta subunit, interaction domain",
98,"5'-nucleotidase, C-terminal domain",
99,5-bromo-4-chloroindolyl phosphate hydrolysis protein,
100,5-fold beta-flower protein,
101,5-formyltetrahydrofolate cyclo-ligase family,
102,50S ribosome-binding GTPase,
103,"56B-like, Ribbon-helix-helix",
104,5TMR of 5TMR-LYT,
105,"6-O-methylguanine DNA methyltransferase, DNA binding domain",
106,6-bladed beta-propeller,
107,6-carboxyhexanoate--CoA ligase,
108,6-pyruvoyl tetrahydropterin synthase,
109,60Kd inner membrane protein,
110,7 transmembrane receptor (Secretin family),
111,7 transmembrane receptor (rhodopsin family),
112,7 transmembrane sweet-taste receptor of 3 GCPR,
113,"7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)",
114,7TM diverse intracellular signalling,
115,7TM receptor with intracellular HD hydrolase,
116,7TMR-DISM extracellular 2,
117,"8-oxoguanine DNA glycosylase, N-terminal domain",
118,A nuclease family of the HNH/ENDO VII superfamily with conserved AHH,
119,A nuclease of the HNH/ENDO VII superfamily with conserved WHH,
120,AAA ATPase domain,
121,AAA domain,
122,AAA domain (Cdc48 subfamily),
123,AAA domain (dynein-related subfamily),
124,"AAA domain, putative AbiEii toxin, Type IV TA system",
125,AAA lid domain,
126,AAA+ lid domain,
127,AAA-like domain,
128,ABA DEFICIENT 4-like,
129,ABA/WDS induced protein,
130,ABC 3 transport family,
131,ABC transporter,
132,ABC transporter C-terminal domain,
133,ABC transporter substrate binding protein,
134,ABC transporter substrate-binding protein PnrA-like,
135,ABC transporter transmembrane region,
136,"ABC transporter, phosphonate, periplasmic substrate-binding protein",
137,ABC-2 family transporter protein,
138,ABC-2 type transporter,
139,ABC-three component (ABC-3C) system Middle Component 1,
140,ABC-three component (ABC-3C) system Middle Component 4,
141,ABC-type transport auxiliary lipoprotein component,
142,ABC-type uncharacterized transport system,
143,ABC1 atypical kinase-like domain,
144,ACS/CODH beta subunit C-terminal,
145,ACT domain,
146,"ADDB, N-terminal",
147,ADP-Ribosyltransferase in polyvalent proteins,
148,ADP-ribosylation factor family,
149,ADP-ribosylglycohydrolase,
150,ADP-ribosyltransferase exoenzyme,
151,AF2212-like,
152,AI-2E family transporter,
153,AIG1 family,
154,AIG2-like family,
155,"AIR synthase related protein, C-terminal domain",
156,"AIR synthase related protein, N-terminal domain",
157,AMIN domain,
158,AMMECR1,
159,AMP-binding enzyme,
160,AMP-binding enzyme C-terminal domain,
161,AN1-like Zinc finger,
162,ANTAR domain,
163,AP2 domain,
164,APAF-1 helical domain,
165,"ARC6-like, IMS domain",
166,ASCH domain,
167,ASPIC and UnbV,
168,AT hook motif,
169,"ATG2/VPS13, C terminal domain",
170,ATHILA ORF-1 family,
171,ATP cone domain,
172,ATP dependent DNA ligase C terminal region,
173,ATP dependent DNA ligase domain,
174,ATP synthase,
175,ATP synthase (C/AC39) subunit,
176,ATP synthase (E/31 kDa) subunit,
177,ATP synthase (F/14-kDa) subunit,
178,ATP synthase A chain,
179,ATP synthase B/B' CF(0),
180,ATP synthase I chain,
181,"ATP synthase alpha/beta family, nucleotide-binding domain",
182,ATP synthase delta (OSCP) subunit,
183,ATP synthase subunit C,
184,"ATP synthase, Delta/Epsilon chain, beta-sandwich domain",
185,"ATP synthase, Delta/Epsilon chain, long alpha-helix domain",
186,ATP-NAD kinase C-terminal domain,
187,ATP-NAD kinase N-terminal domain,
188,ATP-dependent RecD-like DNA helicase SH3 domain,
189,ATP-dependent protease La (LON) substrate-binding domain,
190,ATP-grasp domain,
191,"ATP-grasp domain, R2K clade family 2",
192,"ATP-grasp domain, R2K clade family 3",
193,ATP-sulfurylase,
194,ATP:corrinoid adenosyltransferase BtuR/CobO/CobP,
195,ATP:dephospho-CoA triphosphoribosyl transferase,
196,"ATP:guanido phosphotransferase, C-terminal catalytic domain",
197,ATPase MipZ,
198,ATPase domain predominantly from Archaea,
199,ATPase family associated with various cellular activities (AAA),
200,ATPase inhibitor subunit zeta,
201,AUX/IAA family,
202,AWPM-19-like family,
203,AbgT putative transporter family,
204,Abi-like protein,
205,AbiTii,
206,"Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin",
207,Abortive infection C-terminus,
208,AbrB C-terminal domain,
209,Accessory Sec secretory system ASP3,
210,Accessory Sec system protein Asp1,
211,Accessory gene regulator B,
212,"Acetohydroxy acid isomeroreductase, NADPH-binding domain",
213,"Acetohydroxy acid isomeroreductase, catalytic domain",
214,Acetokinase family,
215,Acetyl xylan esterase (AXE1),
216,Acetylaranotin biosynthesis cluster protein L,
217,Acetyltransferase (GNAT) domain,
218,"Acetyltransferase (GNAT) domain, PanZ",
219,Acetyltransferase (GNAT) family,
220,Aconitase C-terminal domain,
221,Aconitase family (aconitate hydratase),
222,AcrB/AcrD/AcrF family,
223,Actin like proteins N terminal domain,
224,Activator of Hsp90 ATPase homolog 1-like protein,
225,Acyl CoA binding protein,
226,Acyl transferase domain,
227,Acyl-ACP thioesterase C-terminal domain,
228,Acyl-ACP thioesterase N-terminal domain,
229,Acyl-CoA carboxylase epsilon subunit,
230,Acyl-CoA dehydrogenase C terminal,
231,"Acyl-CoA dehydrogenase, C-terminal domain",
232,"Acyl-CoA dehydrogenase, C-terminal, bacterial type",
233,"Acyl-CoA dehydrogenase, N-terminal domain",
234,"Acyl-CoA dehydrogenase, middle domain",
235,Acyl-CoA reductase (LuxC),
236,Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase,
237,"Acyl-protein synthetase, LuxE",
238,Acylphosphatase,
239,Acyltransferase,
240,Acyltransferase family,
241,Adaptin C-terminal domain,
242,Adaptin N terminal region,
243,Adaptor complexes medium subunit family,
244,Adenine-specific methyltransferase EcoRI,
245,Adenosine deaminase,
246,Adenosylcobinamide amidohydrolase,
247,Adenylate and Guanylate cyclase catalytic domain,
248,Adenylosuccinate lyase C-terminus,
249,Adenylosuccinate synthetase,
250,Adenylylsulphate kinase,
251,Adhesin biosynthesis transcription regulatory protein,
252,"Adhesin of bacterial autotransporter system, probable stalk",
253,"AefR-like transcriptional repressor, C-terminal domain",
254,Aerotolerance regulator N-terminal,
255,AhpC/TSA family,
256,"Alanine dehydrogenase/PNT, C-terminal domain",
257,"Alanine dehydrogenase/PNT, N-terminal domain",
258,"Alanine racemase, C-terminal domain",
259,"Alanine racemase, N-terminal domain",
260,"Alanine-zipper, major outer membrane lipoprotein",
261,Alcohol dehydrogenase GroES-like domain,
262,Alcohol dehydrogenase transcription factor Myb/SANT-like,
263,Aldehyde dehydrogenase family,
264,"Aldehyde ferredoxin oxidoreductase, domains 2 & 3",
265,"Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain",
266,Aldo/keto reductase family,
267,Aldolase/RraA,
268,Aldose 1-epimerase,
269,Alginate export,
270,Alginate lyase,
271,AlkA N-terminal domain,
272,Alkaline phosphatase,
273,Alkyl sulfatase dimerisation,
274,Allinase,
275,"Alpha 1,4-glycosyltransferase conserved region",
276,"Alpha amylase, C-terminal all-beta domain",
277,"Alpha amylase, N-terminal ig-like domain",
278,"Alpha amylase, catalytic domain",
279,Alpha galactosidase C-terminal beta sandwich domain,
280,Alpha helical recognition lobe domain,
281,Alpha mannosidase middle domain,
282,"Alpha-(1,6)-fucosyltransferase N- and catalytic domains",
283,"Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase, domain N/S",
284,"Alpha-1,6-glucosidases, pullulanase-type, C-terminal",
285,Alpha-2-macroglobulin bait region domain,
286,Alpha-L-fucosidase,
287,Alpha-L-rhamnosidase N-terminal domain,
288,Alpha-helical domain 2,
289,Alpha-kinase family,
290,Alpha/beta hydrolase,
291,Alpha/beta hydrolase domain,
292,Alpha/beta hydrolase family,
293,Alpha/beta hydrolase of unknown function (DUF900),
294,Alpha/beta hydrolase of unknown function (DUF915),
295,Alternative ribosome-rescue factor A,
296,Amidase,
297,Amidohydrolase,
298,Amidohydrolase family,
299,Amiloride-sensitive sodium channel,
300,Amino acid kinase family,
301,Amino acid permease,
302,Amino-transferase class IV,
303,"Aminoacyl tRNA synthetase class II, N-terminal domain",
304,Aminoacyl-tRNA editing domain,
305,"Aminoglycoside adenylyltransferase, C-terminal domain",
306,Aminomethyltransferase beta-barrel domain,
307,Aminomethyltransferase folate-binding domain,
308,Aminotransferase class I and II,
309,Aminotransferase class-III,
310,Aminotransferase class-V,
311,Ammonium Transporter Family,
312,Amphi-Trp domain,
313,"Amylo-alpha-1,6-glucosidase",
314,Anaerobic c4-dicarboxylate membrane transporter,
315,Anaerobic ribonucleoside-triphosphate reductase,
316,Anaphase-promoting complex subunit 15,
317,Anaphase-promoting complex subunit 4 WD40 domain,
318,"Anaphase-promoting complex, cyclosome, subunit 3",
319,Animal haem peroxidase,
320,Anion-transporting ATPase,
321,Ankyrin repeat,
322,Ankyrin repeats (3 copies),
323,Ankyrin repeats (many copies),
324,AntA/AntB antirepressor,
325,"Anthranilate synthase component I, N terminal region",
326,"Anthrax toxin lethal factor, N- and C-terminal domain",
327,Anthrone oxygenase,
328,"Anti sigma-E protein RseA, N-terminal domain",
329,Anti-CBASS protein Acb1-like,
330,Anti-repressor SinI,
331,Anti-sigma factor N-terminus,
332,"Anti-sigma-28 factor, FlgM",
333,Anti-sigma-K factor rskA,
334,Antibiotic biosynthesis monooxygenase,
335,Anticodon binding domain,
336,Anticodon-binding domain of tRNA ligase,
337,"Antidote-toxin recognition MazE, bacterial antitoxin",
338,Antimicrobial peptide resistance and lipid A acylation protein PagP,
339,Antirestriction protein,
340,Antirestriction protein (ArdA),
341,Antitermination protein,
342,Antitoxin MazE-like,
343,"Antitoxin Phd_YefM, type II toxin-antitoxin system",
344,"Antitoxin SocA-like, Panacea domain",
345,Antitoxin VbhA,
346,Antitoxin Xre-like helix-turn-helix domain,
347,Antitoxin Xre/MbcA/ParS C-terminal toxin-binding domain,
348,"Antitoxin component of bacterial toxin-antitoxin system, MqsA",
349,Antitoxin-like ribbon-helix-helix,
350,ApbE family,
351,ApeA N-terminal domain 1,
352,Apea-like HEPN,
353,Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,
354,"Apocytochrome F, C-terminal",
355,"Apocytochrome F, N-terminal",
356,Apolipoprotein A1/A4/E domain,
357,Apolipoprotein N-acyltransferase N-terminal domain,
358,AraC-binding-like domain,
359,AraC-like ligand binding domain,
360,AraR C-terminal winged HTH domain,
361,"Arabinose-binding domain of AraC transcription regulator, N-term",
362,Arc-like DNA binding domain,
363,Archaea bacterial proteins of unknown function,
364,Archaeal 4TM region of histidine kinase,
365,"Archaeal MCM, winged-helix",
366,Archaeal PaREP1/PaREP8 family,
367,"Archaeal Type IV pilin, N-terminal",
368,"Archaeal actin homologue MreB-like, C-terminal",
369,Archaeal holliday junction resolvase (hjc),
370,Archaebacterial flagellin,
371,ArgJ family,
372,Arginase family,
373,"Arginine repressor, C-terminal domain",
374,"Arginine repressor, DNA binding domain",
375,Arginosuccinate synthase C-terminal domain,
376,Arginosuccinate synthase N-terminal HUP domain,
377,Arginyl tRNA synthetase N terminal domain,
378,Arm DNA-binding domain,
379,Armadillo/beta-catenin-like repeat,
380,Aromatic amino acid lyase,
381,ArsC family,
382,Arsenical pump membrane protein,
383,Arsenical resistance operon protein ArsD,
384,Arylsulfotransferase (ASST),
385,Arylsulfotransferase Ig-like domain,
386,Ash protein family,
387,AsmA family,
388,AsmA-like C-terminal region,
389,AsnC-type helix-turn-helix domain,
390,Asp/Glu/Hydantoin racemase,
391,"Asp23 family, cell envelope-related function",
392,"Asparaginase, N-terminal",
393,Asparagine synthase,
394,Aspartate decarboxylase,
395,"Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain",
396,Aspartic acid proteinase inhibitor,
397,Aspartyl protease,
398,Aspartyl/Asparaginyl beta-hydroxylase,
399,Ataxin-2 C-terminal region,
400,Atrophied bacterial Ig domain,
401,Atypical Rib domain,
402,Autochaperone Domain Type 1,
403,Autoinducer binding domain,
404,Autoinducer synthase,
405,Autophagy protein ATG17-like domain,
406,Autophagy protein Atg8 ubiquitin like,
407,Autotransporter beta-domain,
408,Auxin canalisation,
409,Auxin responsive protein,
410,Avirulence protein,
411,AvrE-family Type-III effector proteins (T3Es),
412,AzlC protein,
413,B12 binding domain,
414,B3 domain-containing protein At2g31720-like,
415,BAAT / Acyl-CoA thioester hydrolase C terminal,
416,"BCCT, betaine/carnitine/choline family transporter",
417,BD-FAE,
418,BED zinc finger,
419,"BES1/BZR1 plant transcription factor, N-terminal",
420,BESS motif,
421,BFD-like [2Fe-2S] binding domain,
422,BMC domain,
423,BNR repeat-like domain,
424,BON domain,
425,BPG-independent PGAM N-terminus (iPGM_N),
426,BRCA1 C Terminus (BRCT) domain,
427,BREX system ATP-binding protein BrxC/D,
428,"BRO family, N-terminal domain",
429,"BT4734-like, N-terminal domain",
430,BTB/POZ domain,
431,BTG family,
432,Bacillus competence pheromone ComX,
433,"Bacillus phage phi29, Tail knob protein gp9, C-terminal domain",
434,Bacillus/Clostridium GerA spore germination protein,
435,Bacterial ABC transporter protein EcsB,
436,Bacterial Alpha amylase C-terminal domain,
437,Bacterial Alpha-2-macroglobulin MG10 domain,
438,Bacterial Alpha-2-macroglobulin MG5 domain,
439,Bacterial DNA polymerase III alpha NTPase domain,
440,Bacterial DNA polymerase III alpha subunit finger domain,
441,Bacterial DNA-binding protein,
442,Bacterial EndoU nuclease,
443,Bacterial Fe(2+) trafficking,
444,"Bacterial GPD, NAD-dependent C-terminal",
445,Bacterial Ig domain,
446,Bacterial Ig-like domain,
447,Bacterial Ig-like domain (group 1),
448,Bacterial Ig-like domain (group 2),
449,Bacterial Ig-like domain (group 3),
450,Bacterial Ig-like domain (group 4),
451,Bacterial OB fold (BOF) protein,
452,Bacterial PH domain,
453,Bacterial Peptidase A24 N-terminal domain,
454,"Bacterial RNA polymerase, alpha chain C terminal domain",
455,Bacterial SH3 domain,
456,Bacterial TSP3 repeat,
457,Bacterial TniB protein,
458,Bacterial aa3 type cytochrome c oxidase subunit IV,
459,Bacterial adhesion/invasion protein N terminal,
460,Bacterial alpha-2 macroglobulin MG2 domain,
461,Bacterial alpha-2-macroglobulin MG3 domain,
462,Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain,
463,Bacterial alpha-L-rhamnosidase C-terminal domain,
464,Bacterial alpha-L-rhamnosidase concanavalin-like domain,
465,Bacterial antifreeze protein repeat,
466,Bacterial antitoxin of ParD toxin-antitoxin type II system and RHH,
467,"Bacterial antitoxin of type II TA system, VapB",
468,Bacterial cadherin-like domain,
469,Bacterial capsule synthesis protein PGA_cap,
470,Bacterial cellulose synthase subunit,
471,Bacterial conjugation TrbI-like protein,
472,Bacterial dipeptidyl-peptidase Sh3 domain,
473,Bacterial dnaA  protein,
474,Bacterial dnaA protein helix-turn-helix,
475,"Bacterial export proteins, family 1",
476,Bacterial extracellular solute-binding protein,
477,"Bacterial extracellular solute-binding protein, family 7",
478,"Bacterial extracellular solute-binding proteins, family 3",
479,"Bacterial extracellular solute-binding proteins, family 5 Middle",
480,Bacterial flagellin C-terminal helical region,
481,Bacterial flagellin N-terminal helical region,
482,"Bacterial fructose-1,6-bisphosphatase, glpX-encoded",
483,Bacterial lectin,
484,Bacterial lipoprotein,
485,Bacterial low temperature requirement A protein (LtrA),
486,Bacterial macroglobulin domain 6,
487,Bacterial membrane protein N terminal,
488,Bacterial membrane protein YfhO,
489,Bacterial mobilisation protein (MobC),
490,"Bacterial phospholipase C, C-terminal domain",
491,Bacterial pre-peptidase C-terminal domain,
492,Bacterial proteasome assembling chaperone-like protein,
493,Bacterial protein of unknown function (DUF881),
494,Bacterial protein of unknown function (DUF899),
495,Bacterial protein of unknown function (DUF905),
496,Bacterial protein of unknown function (DUF916),
497,Bacterial protein of unknown function (DUF922),
498,Bacterial protein of unknown function (DUF934),
499,Bacterial protein of unknown function (DUF937),
500,Bacterial protein of unknown function (DUF945),
501,Bacterial protein of unknown function (DUF948),
502,Bacterial protein of unknown function (DUF951),
503,Bacterial protein of unknown function (DUF961),
504,Bacterial protein of unknown function (Gcw_chp),
505,"Bacterial regulatory helix-turn-helix protein, lysR family",
506,"Bacterial regulatory helix-turn-helix proteins, AraC family",
507,"Bacterial regulatory protein, Fis family",
508,"Bacterial regulatory protein, arsR family",
509,"Bacterial regulatory proteins, crp family",
510,"Bacterial regulatory proteins, gntR family",
511,"Bacterial regulatory proteins, lacI family",
512,"Bacterial regulatory proteins, luxR family",
513,"Bacterial regulatory proteins, tetR family",
514,"Bacterial shufflon protein, N-terminal constant region",
515,Bacterial signalling protein N terminal repeat,
516,Bacterial sugar transferase,
517,"Bacterial surface protein, Ig-like domain",
518,Bacterial toxin 47,
519,Bacterial toxin 50,
520,Bacterial toxin YdaS,
521,"Bacterial toxin homologue of phage lysozyme, C-term",
522,"Bacterial toxin of type II toxin-antitoxin system, YafQ",
523,Bacterial toxin ydaT,
524,Bacterial transcriptional activator domain,
525,Bacterial transcriptional regulator,
526,Bacterial transcriptional repressor,
527,Bacterial transferase hexapeptide (six repeats),
528,Bacterial transglutaminase-like cysteine proteinase BTLCP,
529,Bacterial translation initiation factor IF-2 associated region,
530,Bacterial trigger factor protein (TF),
531,Bacterial trigger factor protein (TF) C-terminus,
532,Bacterial type II and III secretion system protein,
533,Bacterial type II/III secretion system short domain,
534,Bacterial virulence factor haemolysin,
535,Bacterial virulence protein (VirJ),
536,Bacterial-like globin,
537,Bacteriocin class IId cyclical uberolysin-like,
538,Bacteriophage CI repressor C-terminal domain,
539,Bacteriophage CI repressor helix-turn-helix domain,
540,"Bacteriophage HK97-gp10, putative tail-component",
541,"Bacteriophage KPP10, Structural protein ORF10",
542,Bacteriophage Lambda NinG protein,
543,Bacteriophage Mu Gam like protein,
544,Bacteriophage Mu transposase,
545,"Bacteriophage Mu, GemA protein",
546,"Bacteriophage Mu, Gp27",
547,"Bacteriophage Mu, Gp36",
548,"Bacteriophage Mu-like, Gp48",
549,"Bacteriophage P22, NinX",
550,"Bacteriophage Sf6, terminase small subunit-like",
551,Bacteriophage T4 gp9/10-like protein,
552,Bacteriophage T4-like portal protein (Gp20),
553,"Bacteriophage T7 DNA helicase/primase, N-terminal a+b fold",
554,Bacteriophage abortive infection AbiH,
555,Bacteriophage head to tail connecting protein,
556,Bacteriophage holin,
557,Bacteriophage holin family,
558,Bacteriophage holin family HP1,
559,Bacteriophage holin of superfamily 6 (Holin_LLH),
560,Bacteriophage lambda head decoration protein D,
561,Bacteriophage minor capsid protein,
562,Bacteriophage peptidoglycan hydrolase,
563,Bacteriophage related domain of unknown function,
564,Bacteriophage replication gene A protein (GPA),
565,Bacteriophage replication protein O,
566,Bacteriorhodopsin-like protein,
567,Bacteroidetes VLRF1 release factor,
568,Baculovirus F protein,
569,BadF/BadG/BcrA/BcrD ATPase family,
570,Barrel-sandwich domain of CusB or HlyD membrane-fusion,
571,Barrier to autointegration factor,
572,Barstar (barnase inhibitor),
573,Baseplate J-like protein,
574,Baseplate wedge protein gp25,
575,Basic region leucine zipper,
576,Basophilic leukemia-expressed protein Bles03,
577,BatD DUF11 like domain,
578,BclA C-terminal domain,
579,Benzoate membrane transport protein,
580,Berberine and berberine like,
581,"Bestrophin, RFP-TM, chloride channel",
582,"BetI-type transcriptional repressor, C-terminal",
583,Beta galactosidase small chain,
584,Beta helix repeat,
585,Beta propeller domain,
586,"Beta-1,4-N-acetylgalactosaminyltransferase (CgtA)",
587,Beta-Casp domain,
588,Beta-eliminating lyase,
589,Beta-galactosidase,
590,Beta-galactosidase trimerisation domain,
591,"Beta-galactosidase, domain 4",
592,"Beta-ketoacyl synthase, C-terminal domain",
593,"Beta-ketoacyl synthase, N-terminal domain",
594,Beta-lactamase,
595,Beta-lactamase enzyme family,
596,"Beta-lactamase hydrolase-like protein, phosphatase-like domain",
597,Beta-lactamase superfamily domain,
598,Beta-propeller repeat,
599,Beta/Gamma crystallin,
600,BhlA holin family,
601,"Bifunctional DNA primase/polymerase, N-terminal",
602,Bifunctional nuclease domain,
603,"Binding-prot-dependent transport system membrane comp, N-term",
604,Binding-protein-dependent transport system inner membrane component,
605,BioY family,
606,Biofilm formation stimulator VEG,
607,Biopolymer transport protein ExbD/TolR,
608,"Biotin carboxylase, N-terminal domain",
609,Biotin protein ligase C terminal domain,
610,Biotin-lipoyl like,
611,"Biotin-protein ligase, N terminal",
612,Biotin-requiring enzyme,
613,Biotin/lipoate A/B protein ligase family,
614,BlaR1 peptidase M56,
615,BolA-like protein,
616,Bor protein,
617,Borrelia Bbcrasp-1 domain containing protein,
618,Borrelia ORF-A,
619,Borrelia family of unknown function DUF226,
620,BppU N-terminal domain,
621,Branched-chain amino acid transport protein,
622,Branched-chain amino acid transport protein (AzlD),
623,Branched-chain amino acid transport system / permease component,
624,Branched-chain polyamine synthase A C-terminal domain,
625,Breast carcinoma amplified sequence 2 (BCAS2),
626,BrnA antitoxin of type II toxin-antitoxin system,
627,Bromodomain,
628,BrxA,
629,BspA type Leucine rich repeat region (6 copies),
630,BsuBI/PstI restriction endonuclease HTH domain,
631,BtpA family,
632,Bucentaur or craniofacial development,
633,Bundlin,
634,C terminal of Calcineurin-like phosphoesterase,
635,C-5 cytosine-specific DNA methylase,
636,C-JID domain,
637,C-lobe and N-lobe beta barrels of Tf-binding protein B,
638,C-lobe handle domain of Tf-binding protein B,
639,C-terminal domain 7 of the ABC-three component (ABC-3C) systems,
640,C-terminal domain of RACo the ASKHA domain,
641,C-terminal domain of alpha-glycerophosphate oxidase,
642,C-terminal domain of metallo-carboxypeptidase,
643,C-terminal domain on Strawberry notch homologue,
644,C-terminal four TMM region of protein-O-mannosyltransferase,
645,C-terminal lipocalin-like domain,
646,"C-terminal novel E3 ligase, LRR-interacting",
647,"C-terminal of Roc, COR, domain",
648,C-terminal region of band_7,
649,C-terminal repeat from RTX toxins,
650,C-terminal repeat of topoisomerase,
651,C-terminal tandem repeated domain in type 4 procollagen,
652,"C-terminal, D2-small domain, of ClpB protein",
653,C-terminus of bacterial fibrinogen-binding adhesin,
654,C1 domain,
655,C1q domain,
656,C2 domain,
657,C2H2-type zinc finger,
658,C4-dicarboxylate anaerobic carrier,
659,C4-type zinc ribbon domain,
660,CAAD domains of cyanobacterial aminoacyl-tRNA synthetase,
661,"CAAX prenyl protease N-terminal, five membrane helices",
662,"CAP12/Pycsar effector protein, TIR domain",
663,CARDB,
664,"CAS/CSE protein, C-terminus",
665,CAT RNA binding domain,
666,CBS domain,
667,CCDC81-like prokaryotic HU domain 1,
668,CCDC81-like prokaryotic HU domain 2,
669,CCT motif,
670,"CDC6, C terminal winged helix domain",
671,CDI immunity protein,
672,CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase,
673,CDP-alcohol phosphatidyltransferase,
674,CDP-diacylglycerol pyrophosphatase,
675,CENP-B N-terminal DNA-binding domain,
676,CGNR zinc finger,
677,CHAD domain,
678,CHAP domain,
679,CHASE domain,
680,CHASE2 domain,
681,CHASE3 domain,
