x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database,id
17.658373,1.5895911,18,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,18
10.413136,3.967226,19,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,19
8.651338,0.6855438,20,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,57.0,flsh,20
8.160005,5.026262,21,1.0,I,I-G,4.0,flsh,21
10.190043,4.118528,22,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,9.0,flsh,22
12.500929,3.16962,23,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,23
10.996555,3.5768929,24,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,24
11.538817,5.462247,25,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,39.0,flsh,25
13.778316,3.250227,26,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,8.0,flsh,26
13.770754,3.2271867,27,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,8.0,flsh,27
11.695181,4.7898116,28,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,8.0,flsh,28
6.0941973,1.5279071,29,1.0,III,III-A,13.0,flsh,29
8.3477335,2.4695706,30,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,10.0,flsh,30
12.635226,3.9864242,31,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,6.0,flsh,31
10.783575,5.1697907,32,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5.0,flsh,32
12.47327,3.8247943,33,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,33
14.541991,3.3289304,34,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,34
17.004559,-1.5042384,35,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,35
9.760903,5.7711525,36,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,17.0,flsh,36
8.712014,0.69879556,37,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,21.0,flsh,37
14.327177,-0.17059806,38,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,38
16.968771,-1.4728683,39,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,39
9.908933,1.6324519,40,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,40
10.931716,3.4112008,41,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5.0,flsh,41
11.397282,3.2971356,42,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,42
9.391793,2.8928986,43,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,43
11.865536,3.8965523,44,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,44
14.997753,1.14513,45,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,45
8.987494,3.523414,46,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,6.0,flsh,46
16.448523,-1.8060306,47,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,47
9.564547,2.6359947,48,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,48
16.435987,-0.17264453,49,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,49
13.610568,-1.6502408,50,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,19.0,flsh,50
13.909642,3.1448977,51,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5.0,flsh,51
10.086854,5.521134,52,1.0,I,I-F,5.0,flsh,52
13.635331,-1.6654364,53,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,11.0,flsh,53
9.373715,2.7638369,54,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,6.0,flsh,54
11.982695,2.9894674,55,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,55
12.18735,7.666089,56,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,38.0,flsh,56
11.813105,0.8320927,57,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,6.0,flsh,57
15.865585,1.2674302,58,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,58
10.436284,3.2737644,59,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,59
14.768445,3.7065501,60,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,9.0,flsh,60
14.780761,3.7035072,61,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,9.0,flsh,61
14.808205,3.749259,62,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,9.0,flsh,62
15.258143,2.792044,63,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,63
6.485661,4.546538,64,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,33.0,flsh,64
7.3639402,7.0706315,65,1.0,I,I-F,7.0,flsh,65
6.629837,2.3287842,66,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,23.0,flsh,66
9.641468,5.4486766,67,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,9.0,flsh,67
11.7370405,1.0713289,68,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,68
8.579813,1.5556608,69,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,69
16.839024,-1.774021,70,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,70
11.550913,2.939843,71,2.0,II,II-D,1.0,flsh,71
8.264208,1.3293451,72,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,9.0,flsh,72
12.119658,3.0685792,73,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,73
8.014091,1.7150455,74,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,18.0,flsh,74
12.699993,3.103507,75,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,75
6.2456536,1.5956606,76,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,16.0,flsh,76
11.91911,1.6256404,77,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,8.0,flsh,77
5.117947,1.1234123,78,1.0,III,III-B,4.0,flsh,78
6.501195,5.5087857,79,1.0,I,I-C,3.0,flsh,79
9.048507,-0.1906574,80,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,80
11.937591,8.240425,81,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,29.0,flsh,81
11.705544,2.794597,82,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,82
15.311743,3.6945686,83,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,83
10.549284,2.0176842,84,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,9.0,flsh,84
15.485152,2.009457,85,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,85
15.157784,4.1059837,86,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,86
10.85159,3.2581847,87,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,87
10.935917,3.857128,88,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,88
10.37183,0.6089901,89,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,14.0,flsh,89
10.81811,1.4261173,90,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,90
13.012132,5.535905,91,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,65.0,flsh,91
8.158833,2.3669517,92,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5.0,flsh,92
10.690694,1.4314955,93,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,13.0,flsh,93
13.34016,6.2257533,94,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,60.0,flsh,94
18.725798,-0.8585944,95,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,95
13.427036,3.2310705,96,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,96
11.244476,-4.0553336,97,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,97
13.06421,3.2596805,98,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,98
5.2075763,3.5586178,99,1.0,I,I-C,4.0,flsh,99
11.453573,1.6937197,100,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,100
10.580814,1.5546263,101,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,14.0,flsh,101
4.91097,5.9118237,102,1.0,I,I-B,8.0,flsh,102
9.570491,1.7467673,103,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,14.0,flsh,103
4.9250774,5.9050984,104,1.0,I,I-B,8.0,flsh,104
10.5285,0.63054466,105,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,6.0,flsh,105
10.078254,1.9528452,106,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,10.0,flsh,106
9.795907,2.746291,107,2.0,II,II-A,4.0,flsh,107
8.666661,1.9741646,108,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,17.0,flsh,108
13.513843,4.503515,109,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,109
10.940271,3.5343497,110,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,10.0,flsh,110
16.980059,-0.10060473,111,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,111
10.102396,0.70476973,112,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,16.0,flsh,112
8.773751,2.0659065,113,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,113
9.061552,2.0192316,114,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,114
14.126108,5.017867,115,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,40.0,flsh,115
10.43066,3.8228064,116,2.0,VI,VI-A,3.0,flsh,116
15.158963,3.805913,117,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,117
8.868023,1.7482454,118,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,16.0,flsh,118
9.704737,-1.2419739,119,2.0,II,II-A,4.0,flsh,119
9.700007,-1.3499498,120,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,6.0,flsh,120
5.3133044,-4.4046493,121,2.0,II,II-A,3.0,flsh,121
14.528157,4.2014,122,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,122
10.831569,1.4071819,123,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,123
14.886744,2.638598,124,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,124
12.097296,4.013812,125,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,125
11.809249,3.8299341,126,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,126
8.796047,2.241356,127,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,127
9.1773205,1.6165736,128,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,13.0,flsh,128
10.443265,3.2973194,129,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5.0,flsh,129
12.712432,1.5877463,130,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,130
10.515266,0.46104068,131,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,131
8.483067,3.6373925,132,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,132
9.417188,5.6856327,133,1.0,I,I-F,6.0,flsh,133
4.616139,-0.37061194,134,1.0,III,III-B,10.0,flsh,134
10.652855,2.635261,135,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5.0,flsh,135
15.593944,2.0068343,136,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,136
11.356361,0.9056293,137,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,137
13.01072,3.2305708,138,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,138
15.062928,1.9380819,139,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,139
9.720744,-1.2572367,140,2.0,II,II-A,4.0,flsh,140
16.702879,-0.2865939,141,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,141
17.424017,1.4776753,142,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,142
7.9712076,1.8573799,143,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,143
14.242134,4.8619385,144,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,27.0,flsh,144
14.040035,4.8159623,145,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,11.0,flsh,145
9.177994,2.5501213,146,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,146
14.844748,3.1832092,147,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,147
16.912533,-0.12904994,148,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,148
11.679633,1.0226873,149,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,149
5.4145904,4.2368503,150,1.0,I,I-B,4.0,flsh,150
15.519816,1.7312323,151,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,151
8.798679,1.6886268,152,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,8.0,flsh,152
12.520399,2.8802571,153,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,153
11.832109,3.8321679,154,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,154
10.009938,3.8673291,155,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,155
8.778694,1.333553,156,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,12.0,flsh,156
8.976148,1.6795462,157,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,9.0,flsh,157
11.95777,3.273563,158,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,158
10.598699,7.055704,159,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,25.0,flsh,159
11.193929,3.8166778,160,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,160
11.616098,1.7608788,161,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,161
10.0844345,2.0188289,162,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,162
11.727352,2.0944612,163,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,163
16.703924,-1.0706415,164,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,164
13.762875,4.19738,165,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,8.0,flsh,165
13.732686,7.014201,166,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,166
9.709706,1.9560522,167,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,167
5.3838997,-1.8365225,168,1.0,I,I-E,6.0,flsh,168
13.634828,4.4470005,169,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,6.0,flsh,169
10.647352,3.3039799,170,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5.0,flsh,170
14.228138,3.8896353,171,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,171
14.595097,2.898201,172,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,172
16.170418,0.38909575,173,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,173
12.676172,3.2988825,174,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,174
11.082835,4.2652473,175,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,6.0,flsh,175
10.868065,3.123872,176,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,10.0,flsh,176
13.339369,6.220883,177,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,48.0,flsh,177
11.650185,1.386144,178,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,178
5.223066,3.5417676,179,1.0,I,I-C,5.0,flsh,179
12.520964,1.8874973,180,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,180
14.880324,3.766865,181,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,6.0,flsh,181
12.015396,7.6402836,182,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,19.0,flsh,182
9.470433,2.8291056,183,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,183
8.816944,3.2179923,184,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,184
7.278926,3.3033228,185,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,185
10.59015,7.0649157,186,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,21.0,flsh,186
13.959511,4.4172077,187,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,8.0,flsh,187
14.144077,5.0936146,188,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,12.0,flsh,188
13.249061,4.200362,189,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5.0,flsh,189
10.915423,3.6275358,190,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,190
9.563076,2.7138731,191,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,191
12.047745,4.8812985,192,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,11.0,flsh,192
9.308395,2.6526258,193,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,8.0,flsh,193
8.785628,1.657359,194,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7.0,flsh,194
10.347996,3.3112528,195,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,195
12.094272,4.0029616,196,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,196
11.523303,1.0135576,197,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1.0,flsh,197
15.304625,2.8034205,198,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,198
14.07065,3.399286,199,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,199
13.973458,3.3423693,200,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,200
11.664156,3.2963784,201,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,201
9.073016,1.965479,202,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5.0,flsh,202
7.7152534,1.7642443,203,1.0,I,I-C,11.0,flsh,203
12.475,6.608276,204,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,19.0,flsh,204
11.528676,2.1858902,205,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2.0,flsh,205
14.032801,5.074315,206,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,6.0,flsh,206
15.131032,2.1596472,207,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,207
5.235329,3.5661044,208,1.0,I,I-C,4.0,flsh,208
